time_s,force_N,x_bottom_m,x_middle_m,x_top_m,slip_ground_bottom_m,slip_bottom_middle_m,slip_middle_top_m,contacts
7.1995000000000005,8.0,0.0005201782639513292,0.011477496618119275,6.417332243365825,0.0005201782639513292,0.010957318354167946,6.405854746747706,8
7.2,8.0,0.0005201782639513667,0.011477496622505124,6.420344633014756,0.0005201782639513667,0.010957318358553757,6.408867136392251,8
7.2005,8.0,0.0005201782639514042,0.011477496626890973,6.423359022663687,0.0005201782639514042,0.01095731836293957,6.4118815260367965,8
7.2010000000000005,8.0,0.0005201782639514417,0.011477496631276823,6.426375412312619,0.0005201782639514417,0.01095731836732538,6.414897915681342,8
7.2015,8.0,0.0005201782639514791,0.011477496635662672,6.42939380196155,0.0005201782639514791,0.010957318371711194,6.417916305325887,8
7.202,8.0,0.0005201782639515165,0.011477496640048521,6.432414191610481,0.0005201782639515165,0.010957318376097005,6.4209366949704325,8
7.202500000000001,8.0,0.000520178263951554,0.01147749664443437,6.435436581259412,0.000520178263951554,0.010957318380482816,6.423959084614978,8
7.203,8.0,0.0005201782639515915,0.01147749664882022,6.438460970908344,0.0005201782639515915,0.010957318384868629,6.426983474259524,8
7.2035,8.0,0.000520178263951629,0.01147749665320607,6.441487360557275,0.000520178263951629,0.01095731838925444,6.430009863904069,8
7.204,8.0,0.0005201782639516665,0.011477496657591919,6.4445157502062065,0.0005201782639516665,0.010957318393640253,6.433038253548615,8
7.2045,8.0,0.0005201782639517039,0.011477496661977768,6.447546139855138,0.0005201782639517039,0.010957318398026064,6.436068643193161,8
7.205,8.0,0.0005201782639517414,0.011477496666363617,6.450578529504069,0.0005201782639517414,0.010957318402411875,6.439101032837706,8
7.2055,8.0,0.0005201782639517789,0.011477496670749467,6.4536129191530005,0.0005201782639517789,0.010957318406797688,6.442135422482251,8
7.206,8.0,0.0005201782639518164,0.011477496675135316,6.456649308801932,0.0005201782639518164,0.0109573184111835,6.445171812126797,8
7.2065,8.0,0.0005201782639518538,0.011477496679521165,6.459687698450863,0.0005201782639518538,0.010957318415569312,6.448210201771342,8
7.207,8.0,0.0005201782639518912,0.011477496683907015,6.462728088099794,0.0005201782639518912,0.010957318419955123,6.451250591415888,8
7.2075000000000005,8.0,0.0005201782639519287,0.011477496688292864,6.465770477748726,0.0005201782639519287,0.010957318424340935,6.4542929810604335,8
7.208,8.0,0.0005201782639519662,0.011477496692678713,6.468814867397657,0.0005201782639519662,0.010957318428726747,6.457337370704979,8
7.2085,8.0,0.0005201782639520037,0.011477496697064563,6.471861257046588,0.0005201782639520037,0.010957318433112559,6.460383760349523,8
