time_s,x_m,y_m,z_m
1.175000000000000044e+00,3.517032155286869965e-06,2.665098008947097696e-06,3.699861094355583191e-02
1.179999999999999938e+00,3.515809339660336263e-06,2.664159865162218921e-06,3.699861839413642883e-02
1.185000000000000053e+00,3.510121814542799257e-06,2.673161816346691921e-06,3.699861094355583191e-02
1.189999999999999947e+00,3.509173893689876422e-06,2.667779654075275175e-06,3.699861094355583191e-02
1.195000000000000062e+00,3.515882099236478098e-06,2.664039584487909451e-06,3.699861466884613037e-02
1.199999999999999956e+00,3.512178409437183291e-06,2.661416829141671769e-06,3.699861466884613037e-02
1.205000000000000071e+00,3.516096512612421066e-06,2.655700200193678029e-06,3.699861839413642883e-02
1.209999999999999964e+00,3.515326397973694839e-06,2.668151410034624860e-06,3.699861466884613037e-02
1.215000000000000080e+00,3.518727226037299260e-06,2.665162128323572688e-06,3.699861466884613037e-02
1.219999999999999973e+00,3.518513949529733509e-06,2.670316462172195315e-06,3.699861839413642883e-02
1.225000000000000089e+00,3.514849595376290381e-06,2.651769818839966320e-06,3.699862211942672729e-02
1.229999999999999982e+00,3.513748197292443365e-06,2.671454922165139578e-06,3.699862584471702576e-02
1.235000000000000098e+00,3.505814447635202669e-06,2.655192929523764178e-06,3.699862584471702576e-02
1.239999999999999991e+00,3.525892452671541832e-06,2.674746156117180362e-06,3.699862957000732422e-02
1.245000000000000107e+00,3.515208845783490688e-06,2.672966957106837071e-06,3.699862584471702576e-02
1.250000000000000000e+00,3.525601641740649939e-06,2.666966565811890177e-06,3.699862584471702576e-02
1.255000000000000115e+00,3.510834403641638346e-06,2.668934712346526794e-06,3.699862211942672729e-02
1.260000000000000009e+00,3.510946726237307303e-06,2.664190787982079200e-06,3.699862211942672729e-02
1.265000000000000124e+00,3.506125722196884453e-06,2.668486331458552741e-06,3.699861466884613037e-02
1.270000000000000018e+00,3.505968152239802293e-06,2.689253733478835784e-06,3.699861466884613037e-02
1.275000000000000133e+00,3.512810963002266362e-06,2.666337650225614198e-06,3.699861094355583191e-02
1.280000000000000027e+00,3.502746722006122582e-06,2.665208967300713994e-06,3.699861094355583191e-02
1.284999999999999920e+00,3.516444394335849211e-06,2.669594323378987610e-06,3.699862211942672729e-02
1.290000000000000036e+00,3.518241555866552517e-06,2.676937810974777676e-06,3.699861839413642883e-02
1.294999999999999929e+00,3.518538278513005935e-06,2.674802999536041170e-06,3.699861839413642883e-02
1.300000000000000044e+00,3.509043835947522894e-06,2.669105015229433775e-06,3.699861466884613037e-02
1.304999999999999938e+00,3.515721800795290619e-06,2.671977426871308126e-06,3.699861466884613037e-02
1.310000000000000053e+00,3.501359060464892536e-06,2.670295543794054538e-06,3.699861839413642883e-02
1.314999999999999947e+00,3.518704033922404051e-06,2.655752268765354529e-06,3.699861839413642883e-02
1.320000000000000062e+00,3.514671107041067444e-06,2.666427917574765161e-06,3.699862211942672729e-02
1.324999999999999956e+00,3.515712705848272890e-06,2.664843350430601276e-06,3.699861839413642883e-02
1.330000000000000071e+00,3.511929890009923838e-06,2.668386741788708605e-06,3.699861839413642883e-02
1.334999999999999964e+00,3.512812554617994465e-06,2.661298822204116732e-06,3.699862211942672729e-02
1.340000000000000080e+00,3.510466513034771197e-06,2.662846100065507926e-06,3.699862584471702576e-02
1.344999999999999973e+00,3.511257546051638201e-06,2.672091568456380628e-06,3.699862211942672729e-02
1.350000000000000089e+00,3.504198730297503062e-06,2.666641648829681799e-06,3.699861839413642883e-02
1.354999999999999982e+00,3.523784471326507628e-06,2.671364882189664058e-06,3.699861839413642883e-02
1.360000000000000098e+00,3.509326688799774274e-06,2.678050577742396854e-06,3.699861839413642883e-02
1.364999999999999991e+00,3.519319761835504323e-06,2.660471864146529697e-06,3.699861094355583191e-02
1.370000000000000107e+00,3.511980366965872236e-06,2.678161763469688594e-06,3.699861466884613037e-02
1.375000000000000000e+00,3.520841801218921319e-06,2.676430312931188382e-06,3.699861466884613037e-02
1.380000000000000115e+00,3.512326657073572278e-06,2.660827249201247469e-06,3.699862211942672729e-02
1.385000000000000009e+00,3.506760094751371071e-06,2.668464048838359304e-06,3.699862584471702576e-02
1.390000000000000124e+00,3.526142563714529388e-06,2.678088776519871317e-06,3.699862211942672729e-02
1.395000000000000018e+00,3.521091684888233431e-06,2.668847400855156593e-06,3.699862957000732422e-02
1.400000000000000133e+00,3.527363332977984101e-06,2.665379497557296418e-06,3.699863702058792114e-02
1.405000000000000027e+00,3.512554712870041840e-06,2.664080739123164676e-06,3.699863329529762268e-02
1.409999999999999920e+00,3.512283683448913507e-06,2.661667394932010211e-06,3.699863702058792114e-02
1.415000000000000036e+00,3.521112603266374208e-06,2.676018539204960689e-06,3.699864074587821960e-02
