sweep_group,engine,version,dt_ms,solref_timeconst_ms,dampratio,solimp_d0,solimp_dwidth_dmax,integrator,solver,iterations_budget,solver_iterations_mean,solver_iterations_max,max_penetration_mm,final_com_height_m,expected_com_height_m,final_com_height_error_mm,orientation_tilt_max_deg,tail_com_jitter_pp_mm,tail_tilt_jitter_pp_deg,settling_time_s,max_contacts,finite,order_preserved,escaped,failure,stepping_wall_s
solimp_dmax,mujoco,3.12.0,0.5,4.0,1.0,0.999,0.999,implicitfast,Newton,100,1.0302424393901524,5,2.065691974245776,0.0059998130722982304,0.006,0.0001869277017696805,0.001175154218532306,9.719276781311459e-05,0.0002793291942557554,1.3215000000000001,13,True,True,False,False,0.16506804199889302
dampratio,mujoco,3.12.0,0.5,8.0,0.5,0.95,0.99,implicitfast,Newton,100,1.0947263184203948,10,3.407278704699411,0.0059858487925537095,0.006,0.014151207446290621,2.0777643761897857,2.4749295797661663e-05,7.71219715030871e-05,0.4965,13,True,True,False,False,0.16546666601789184
dampratio,mujoco,3.12.0,0.5,8.0,1.0,0.95,0.99,implicitfast,Newton,100,1.0509872531867033,9,4.014216134677891,0.005943137188159326,0.006,0.056862811840674085,1.4434578729947436,3.551097841995865e-06,6.818794861258741e-05,0.5630000000000001,18,True,False,False,True,0.17096137499902397
dampratio,mujoco,3.12.0,0.5,8.0,2.0,0.95,0.99,implicitfast,Newton,100,1.0019995001249689,7,3.920392455972839,0.005773628475839114,0.006,0.22637152416088607,0.040191008296293705,7.820754565658616e-06,6.317004908859156e-05,0.4385,21,True,False,False,True,0.172278959013056
solimp_dmax,mujoco,3.12.0,0.5,8.0,1.0,0.9,0.9,implicitfast,Newton,100,0.9882529367658085,4,3.998071909621856,0.0058951453691227585,0.006,0.10485463087724164,0.005460065570849171,1.2240718050282595e-05,0.00013566214471967143,1.995,18,True,False,False,True,0.17115212499629706
solimp_dmax,mujoco,3.12.0,0.5,8.0,1.0,0.95,0.95,implicitfast,Newton,100,1.0364908772806798,8,3.960547105482318,0.005947628047319732,0.006,0.05237195268026785,0.10063645990984173,3.71103519095084e-06,7.296237415449207e-05,0.47800000000000004,18,True,False,False,True,0.1750729999912437
solimp_dmax,mujoco,3.12.0,0.5,8.0,1.0,0.99,0.99,implicitfast,Newton,100,1.0192451887028242,6,3.9818360896977656,0.005989615334877178,0.006,0.010384665122821837,0.0011561974076439588,7.216779404108087e-06,1.3925481274194225e-05,0.2185,18,True,False,False,True,0.17199783399701118
solimp_dmax,mujoco,3.12.0,0.5,8.0,1.0,0.999,0.999,implicitfast,Newton,100,1.163459135216196,12,3.964902078348281,0.0059990668787129504,0.006,0.0009331212870496847,0.007490754006501406,7.493286397191462e-05,0.00018928594733117808,0.3395,18,True,False,False,True,0.1710351660149172
dampratio,mujoco,3.12.0,0.5,16.0,0.5,0.95,0.99,implicitfast,Newton,100,1.087228192951762,9,3.9771042689271026,0.005943076245348361,0.006,0.05692375465163931,0.6192275209566112,5.29438934620402e-06,0.00011088537850635444,1.2565,21,True,False,False,True,0.17347700000391342
dampratio,mujoco,3.12.0,0.5,16.0,1.0,0.95,0.99,implicitfast,Newton,100,1.020744813796551,7,5.4114630835543,0.00577353504713287,0.006,0.2264649528671298,0.12353730037497303,3.1233957913968935e-05,0.00021404238498778615,1.9155,24,True,False,False,True,0.17469241700018756
dampratio,mujoco,3.12.0,0.5,16.0,2.0,0.95,0.99,implicitfast,Newton,100,1.0117470632341914,7,9.147953837338827,0.005168047870874796,0.006,0.831952129125204,0.014186757594201679,4.054183507136433e-05,0.00020565175794913786,1.5365,21,True,False,False,True,0.17003999999724329
solimp_dmax,mujoco,3.12.0,0.5,16.0,1.0,0.9,0.9,implicitfast,Newton,100,0.9747563109222694,5,4.482274724280812,0.0055800726400425564,0.006,0.4199273599574437,0.019074054318874108,5.326615553410269e-05,0.00043449582324054227,1.977,21,True,False,False,True,0.16928116598865017
solimp_dmax,mujoco,3.12.0,0.5,16.0,1.0,0.95,0.95,implicitfast,Newton,100,0.9900024993751562,5,4.578305963480611,0.005790072121856303,0.006,0.209927878143697,0.011103906581760631,3.0390730375827457e-05,0.0002166669250229494,1.946,21,True,False,False,True,0.16989699998521246
solimp_dmax,mujoco,3.12.0,0.5,16.0,1.0,0.99,0.99,implicitfast,Newton,100,1.0302424393901524,12,5.2889417102706595,0.005958070406190075,0.006,0.04192959380992529,0.09330949113546949,2.5477040928312267e-06,4.157104430711909e-05,0.517,24,True,False,False,True,0.16823841599398293
solimp_dmax,mujoco,3.12.0,0.5,16.0,1.0,0.999,0.999,implicitfast,Newton,100,1.1322169457635591,13,5.033479484693426,0.006022336506753499,0.006,0.022336506753498943,0.4008979790808555,0.012176029366456342,0.01393695854674886,0.3405,21,True,False,False,True,0.1682603340013884
integrator_x_solver,mujoco,3.12.0,0.5,1.0,1.0,0.95,0.99,Euler,Newton,100,1.181954511372157,7,0.6524931077669797,0.005999197848983068,0.006,0.0008021510169318666,0.025421156576340375,0.00017782964657417355,2.9086260428695274e-05,1.172,13,True,True,False,False,0.16532095900038257
integrator_x_solver,mujoco,3.12.0,0.5,1.0,1.0,0.95,0.99,Euler,CG,100,13.674831292176956,74,0.6524931071654323,0.0059991988106345056,0.006,0.0008011893654945659,0.02542140569593196,0.00017787063348855686,2.9237359697424354e-05,1.171,13,True,True,False,False,0.19162600001436658
