time_s,delta_m,normal_force_N,contact_points,vz_m_s
1.838,4.99999696330633e-05,19.99980412408063,4,-1.5044840040445706e-07
1.8385,4.999996235710569e-05,20.000319514978326,4,1.359957391144917e-08
1.839,4.999991142540239e-05,20.00019617279886,4,1.0170113284857507e-07
1.8395,4.999994416721165e-05,19.999680657746925,4,-6.225815951665936e-08
1.84,4.999991142540239e-05,20.00024768208137,4,6.490878945442091e-08
1.8405,4.9999951443169266e-05,19.999710625922326,4,-8.366399839587757e-08
1.841,4.9999925977317616e-05,20.00026511760939,4,5.245483691851405e-08
1.8415,4.9999864131677896e-05,20.000162774414527,4,1.2555712203266012e-07
1.842,4.9999889597529545e-05,19.999661226517407,4,-4.8378709038843226e-08
1.8425,4.9999965995084494e-05,19.999802901089286,4,-1.4957483074340416e-07
1.843,4.999995871912688e-05,20.000318803436464,4,1.4107818024911012e-08
1.8435,4.999990778742358e-05,20.00019573593314,4,1.0201317479641148e-07
1.844,4.9999940529232845e-05,19.999680403581984,4,-6.207661584767266e-08
1.8445,4.999990778742358e-05,20.000247534210104,4,6.501441163209165e-08
1.845,4.999994780519046e-05,19.99971053989073,4,-8.360255066008904e-08
1.8455,4.999992233933881e-05,20.000265067558928,4,5.249058787626382e-08
1.846,4.999986049369909e-05,20.000162743684527,4,1.255790635923404e-07
1.8465,4.999988595955074e-05,19.999661208645705,4,-4.8365944138595296e-08
1.847,4.999996235710569e-05,19.999802890692006,4,-1.4956741267724283e-07
1.8475,4.999995508114807e-05,20.000318797394474,4,1.4112133683852335e-08
1.848,4.9999904149444774e-05,20.000195732223574,4,1.0201582512081586e-07
1.8485,4.999993689125404e-05,19.999680401423223,4,-6.207507396993606e-08
1.849,4.9999904149444774e-05,20.000247532954212,4,6.501530691593871e-08
1.8495,4.999994416721165e-05,19.99971053916154,4,-8.360202485846457e-08
1.85,4.999991870136e-05,20.00026506713054,4,5.2490893409640194e-08
1.8505,4.999985685572028e-05,20.000162743421864,4,1.255792625443064e-07
1.851,4.999988232157193e-05,19.99966120848341,4,-4.8365830451757574e-08
1.8515,4.999995871912688e-05,19.99980289059945,4,-1.4956734162296925e-07
1.852,4.9999951443169266e-05,20.00031879733649,4,1.411217542823806e-08
1.8525,4.999990051146597e-05,20.000195732187716,4,1.0201585354252529e-07
1.853,4.999993325327523e-05,19.999680401400013,4,-6.207505265365398e-08
1.8535,4.999990051146597e-05,20.000247532936747,4,6.501532112679342e-08
1.854,4.9999940529232845e-05,19.99971053914993,4,-8.360201775303722e-08
1.8545,4.9999915063381195e-05,20.000265067124776,4,5.249089696235387e-08
1.855,4.9999853217741475e-05,20.000162743418763,4,1.255792625443064e-07
1.8555,4.9999878683593124e-05,19.999661208483456,4,-4.8365830451757574e-08
1.856,4.999995508114807e-05,19.99980289059945,4,-1.4956734162296925e-07
1.8565,4.999994780519046e-05,20.00031879733649,4,1.411217542823806e-08
1.857,4.999989687348716e-05,20.000195732187716,4,1.0201585354252529e-07
1.8575,4.9999929615296423e-05,19.999680401400013,4,-6.207505265365398e-08
1.8579999999999999,4.999989687348716e-05,20.000247532936747,4,6.501532112679342e-08
1.8585,4.999993689125404e-05,19.99971053914993,4,-8.360201775303722e-08
1.859,4.999991142540239e-05,20.000265067124776,4,5.249089696235387e-08
1.8595,4.999995508114807e-05,19.999720740569824,4,-9.088874719509477e-08
1.8599999999999999,4.9999929615296423e-05,20.000271002326695,4,4.8251468598436986e-08
1.8605,4.99998677696567e-05,20.00016638745697,4,1.2297637397296057e-07
1.861,4.999989323550835e-05,19.999663328593716,4,-4.988019242091468e-08
1.8615,4.99999696330633e-05,19.99980412408063,4,-1.5044840040445706e-07
1.8619999999999999,4.999996235710569e-05,20.000319514978326,4,1.359957391144917e-08
1.8625,4.999991142540239e-05,20.00019617279886,4,1.0170113284857507e-07
1.863,4.999994416721165e-05,19.999680657746925,4,-6.225815951665936e-08
1.8635,4.999991142540239e-05,20.00024768208137,4,6.490878945442091e-08
1.8639999999999999,4.9999951443169266e-05,19.999710625922326,4,-8.366399839587757e-08
1.8645,4.9999925977317616e-05,20.00026511760939,4,5.245483691851405e-08
1.865,4.9999864131677896e-05,20.000162774414527,4,1.2555712203266012e-07
1.8655,4.9999889597529545e-05,19.999661226517407,4,-4.8378709038843226e-08
1.8659999999999999,4.9999965995084494e-05,19.999802901089286,4,-1.4957483074340416e-07
1.8665,4.999995871912688e-05,20.000318803436464,4,1.4107818024911012e-08
1.867,4.999990778742358e-05,20.00019573593314,4,1.0201317479641148e-07
1.8675,4.9999940529232845e-05,19.999680403581984,4,-6.207661584767266e-08
1.8679999999999999,4.999990778742358e-05,20.000247534210104,4,6.501441163209165e-08
1.8685,4.999994780519046e-05,19.99971053989073,4,-8.360255066008904e-08
1.869,4.999992233933881e-05,20.000265067558928,4,5.249058787626382e-08
1.8695,4.999986049369909e-05,20.000162743684527,4,1.255790635923404e-07
1.8699999999999999,4.999988595955074e-05,19.999661208645705,4,-4.8365944138595296e-08
1.8705,4.999996235710569e-05,19.999802890692006,4,-1.4956741267724283e-07
1.871,4.999995508114807e-05,20.000318797394474,4,1.4112133683852335e-08
1.8715,4.9999904149444774e-05,20.000195732223574,4,1.0201582512081586e-07
1.8719999999999999,4.999993689125404e-05,19.999680401423223,4,-6.207507396993606e-08
