time_s,force_command_N,ground_bottom_slip_m,ground_bottom_vt_m_s,ground_bottom_Fn_N,ground_bottom_Ft_N,ground_bottom_rho,ground_bottom_point_rho_max,ground_bottom_contacts,bottom_middle_slip_m,bottom_middle_vt_m_s,bottom_middle_Fn_N,bottom_middle_Ft_N,bottom_middle_rho,bottom_middle_point_rho_max,bottom_middle_contacts,middle_top_slip_m,middle_top_vt_m_s,middle_top_Fn_N,middle_top_Ft_N,middle_top_rho,middle_top_point_rho_max,middle_top_contacts,solver_iterations
1.9495,0.7184000000000001,5.370469009311241e-06,2.379828272877208e-05,29.429999994385653,0.7179249034640215,0.04878864448528574,0.055601656243301635,4,1.0819256367586293e-05,4.7777897224719786e-05,19.619995079644244,0.7179776839303188,0.07318836534013416,0.08228378091876838,4,1.0922866503722103e-05,4.8009962174252335e-05,9.809994187173993,0.7181360501296022,0.14640906741178789,0.15804067412408276,4,1
1.95,0.7192000000000001,5.382381345792147e-06,2.3824672961811284e-05,29.429999994381276,0.7187249034594051,0.04884301077788806,0.055672313833047916,4,1.0843171712632197e-05,4.783069009180627e-05,19.619995068600915,0.7187776839254836,0.07326991484068085,0.08238691340723504,4,1.094689788072773e-05,4.806275401125938e-05,9.80999417412504,0.7189360501257344,0.14657216658130315,0.15823077204975178,4,1
1.9505000000000001,0.72,5.394306877389598e-06,2.3851063194902483e-05,29.429999994376708,0.7195249034520262,0.048897377070302984,0.05574299359536422,4,1.086711345411209e-05,4.7883482959786254e-05,19.61999505754567,0.7195776839182084,0.07335146434111516,0.08249007470852936,4,1.0970955653652736e-05,4.811554585001285e-05,9.809994161062178,0.7197360501203505,0.14673526575115126,0.1584209038572618,4,1
1.951,0.7208000000000002,5.406245604103598e-06,2.387745342799909e-05,29.429999994372555,0.7203249034454293,0.04895174336277037,0.05581369554127382,4,1.0891081592026378e-05,4.793627582857581e-05,19.619995046478323,0.7203776839116223,0.0734330138417569,0.08259326483562235,4,1.099503982249795e-05,4.81683376904294e-05,9.809994147985512,0.7205360501153948,0.14689836492172778,0.15861106955662632,4,1
1.9515,0.7216000000000001,5.41819752593406e-06,2.390384366092405e-05,29.429999994364128,0.7211249034419217,0.04900610965545483,0.05588441968171152,4,1.0915076126375299e-05,4.7989068697836574e-05,19.619995035394627,0.7211776839077717,0.07351456334283077,0.0826964838013754,4,1.1019150387264035e-05,4.822112953217215e-05,9.809994134890811,0.721336050112143,0.14706146409335683,0.15880126915777693,4,1
1.952,0.7224,5.430162642881065e-06,2.3930233894009713e-05,29.42999999436662,0.7219249034326866,0.049060475947731885,0.05595516602661422,4,1.0939097057159394e-05,4.8041861568192755e-05,19.61999502430836,0.721977683898858,0.07359611284349028,0.08279973161732956,4,1.1043287347951966e-05,4.827392137585955e-05,9.80999412178781,0.7221360501057417,0.14722456326490374,0.1589915026689327,4,1
1.9525000000000001,0.7232,5.442140954944576e-06,2.395662412702164e-05,29.429999994351626,0.7227249034274574,0.04911484224031036,0.056025934587624296,4,1.0963144384379002e-05,4.8094654439209155e-05,19.619995013192806,0.7227776838934816,0.07367766234471253,0.08290300829729501,4,1.1067450704562494e-05,4.832671322106223e-05,9.809994108660302,0.722936050101538,0.14738766243770263,0.1591817701012213,4,1
1.953,0.7240000000000002,5.454132462124629e-06,2.3983014360107786e-05,29.429999994351512,0.7235249034196785,0.049169208532690745,0.056096725374850304,4,1.0987218108034585e-05,4.8147447311163646e-05,19.619995002078404,0.723577683885851,0.07375921184579305,0.08300631385300117,4,1.109164045709652e-05,4.837950506805569e-05,9.80999409552762,0.723736050095932,0.14755076161072994,0.1593720714630016,4,1
1.9535,0.7248000000000001,5.466137164421236e-06,2.400940459321411e-05,29.429999994344197,0.7243249034128147,0.049223574825145375,0.05616753839939299,4,1.1011318228126564e-05,4.820024018395677e-05,19.619994990945834,0.7243776838790272,0.0738407613471166,0.08310964829753924,4,1.111585660555489e-05,4.8432296916743186e-05,9.809994082374386,0.7245360500908262,0.14771386078460536,0.1595624067645667,4,1
1.954,0.7256,5.478155061834389e-06,2.403579482630562e-05,29.429999994336747,0.7251249034065492,0.04927794111764091,0.05623837367196917,4,1.1035444744655329e-05,4.8253033057524214e-05,19.619994979800538,0.7251776838727326,0.07392231084863458,0.08321301164346862,4,1.1140099149938419e-05,4.848508876705899e-05,9.809994069207061,0.7253360500860506,0.1478769599591979,0.1597527760153326,4,1
